ID,year,债权融资额度,债权融资成本,股权融资额度,股权融资成本,内部融资和贸易融资额度,内部融资和贸易融资成本,项目融资和政策融资额度,项目融资和政策融资成本
28,2015.0,0.0,0.0,0.0,0.0,21648.0,1298.88,0.0,0.0
230,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,470.4,28.224
429,2015.0,19340.0,1547.2,0.0,0.0,0.0,0.0,0.0,0.0
693,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,5350.4,321.024
727,2015.0,0.0,0.0,32229.12,1289.1648,0.0,0.0,0.0,0.0
990,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,675.2,40.512
1137,2015.0,0.0,0.0,0.0,0.0,24460.8,1467.648,0.0,0.0
1274,2015.0,0.0,0.0,11085.2,443.408,0.0,0.0,,0.0
1560,2015.0,0.0,0.0,5880.0,235.2,0.0,0.0,0.0,0.0
1873,2015.0,0.0,0.0,11007.36,440.2944,0.0,0.0,0.0,0.0
2260,2015.0,0.0,0.0,0.0,0.0,,0.0,11287.5,677.25
2694,2015.0,0.0,0.0,0.0,0.0,65828.7,3949.722,0.0,0.0
2992,2015.0,0.0,0.0,1708.8,68.352,0.0,0.0,0.0,0.0
3261,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,16680.0,1000.8
3313,2015.0,0.0,0.0,86275.2,3451.008,0.0,0.0,0.0,0.0
3537,2015.0,0.0,0.0,0.0,0.0,,0.0,356.0,21.36
3719,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,12680.0,760.8
3720,2015.0,0.0,0.0,7142.4,285.69599999999997,0.0,0.0,0.0,0.0
3742,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.0,139.5
3770,2015.0,11568.0,925.44,0.0,0.0,0.0,0.0,0.0,0.0
4107,2015.0,0.0,0.0,0.0,0.0,60568.2,3634.092,0.0,0.0
4321,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,7461.0,447.66
4911,2015.0,57260.0,4580.8,0.0,0.0,0.0,0.0,0.0,0.0
5267,2015.0,724.0,57.92,0.0,0.0,0.0,0.0,0.0,0.0
5646,2015.0,0.0,0.0,0.0,0.0,4140.0,248.4,0.0,0.0
6172,2015.0,0.0,0.0,8996.4,359.856,0.0,0.0,0.0,0.0
6357,2015.0,0.0,0.0,4701.2,188.048,0.0,0.0,0.0,0.0
6370,2015.0,2832.0,226.56,0.0,0.0,0.0,0.0,0.0,0.0
7662,2015.0,0.0,0.0,47000.0,1880.0,0.0,0.0,0.0,0.0
7706,2015.0,0.0,0.0,1030.08,41.2032,0.0,0.0,0.0,0.0
7824,2015.0,0.0,0.0,0.0,0.0,34257.6,2055.456,0.0,0.0
