ID,year,从业人数,资产总额,负债总额,营业总收入,主营业务收入,利润总额,净利润,纳税总额,所有者权益合计
28,2015.0,794.0,16400.0,28700.0,72160.0,28864.0,7216.0,-7216.0,0.0,-12300.0
230,2015.0,485.0,23520.0,10080.0,115248.0,57624.0,57624.0,-11524.8,0.0,13440.0
429,2015.0,136.0,193400.0,183730.0,502840.0,351988.0,,-50284.0,0.0,9670.0
693,2015.0,534.0,133760.0,125400.0,655424.0,262169.6,196627.2,-65542.4,0.0,8360.0
727,2015.0,375.0,366240.0,536280.0,402864.0,282004.8,161145.6,-40286.4,0.0,-170040.0
990,2015.0,863.0,33760.0,25320.0,145168.0,58067.2,14516.8,-14516.8,0.0,8440.0
1137,2015.0,289.0,,40320.0,81536.0,57075.2,32614.4,-8153.6,0.0,-11200.0
1274,2015.0,254.0,74900.0,104325.0,277130.0,110852.0,55426.0,-27713.0,0.0,-29425.0
1560,2015.0,491.0,105000.0,98000.0,147000.0,73500.0,29400.0,-14700.0,0.0,7000.0
1873,2015.0,889.0,229320.0,222950.0,137592.0,55036.8,55036.8,-13759.2,0.0,6370.0
2260,2015.0,689.0,225750.0,325080.0,1128750.0,564375.0,338625.0,-112875.0,0.0,-99330.0
2694,2015.0,258.0,51030.0,48600.0,219429.0,131657.4,87771.6,-21942.9,0.0,2430.0
2992,2015.0,114.0,106800.0,104130.0,42720.0,21360.0,8544.0,-4272.0,0.0,2670.0
3261,2015.0,799.0,417000.0,822880.0,1751400.0,1401120.0,350280.0,-175140.0,0.0,-405880.0
3313,2015.0,784.0,501600.0,986480.0,2156880.0,1294128.0,431376.0,-215688.0,0.0,-484880.0
3537,2015.0,647.0,17800.0,13350.0,8900.0,4450.0,2670.0,-890.0,0.0,4450.0
3719,2015.0,369.0,317000.0,465990.0,380400.0,228240.0,152160.0,-38040.0,0.0,-148990.0
3720,2015.0,640.0,38400.0,37760.0,119040.0,83328.0,35712.0,-11904.0,0.0,640.0
3742,2015.0,52.0,116250.0,162750.0,139500.0,83700.0,41850.0,-13950.0,0.0,-46500.0
3770,2015.0,405.0,115680.0,106040.0,69408.0,55526.4,34704.0,-6940.8,0.0,9640.0
4107,2015.0,455.0,87780.0,79800.0,201894.0,161515.2,100947.0,-20189.4,0.0,7980.0
4321,2015.0,676.0,248700.0,480820.0,1193760.0,716256.0,596880.0,-119376.0,0.0,-232120.0
4911,2015.0,860.0,572600.0,846630.0,2118620.0,1483034.0,847448.0,-211862.0,0.0,-274030.0
5267,2015.0,878.0,7240.0,8145.0,724.0,579.2,144.8,-72.4,0.0,-905.0
5646,2015.0,417.0,5750.0,8280.0,13800.0,9660.0,4140.0,-1380.0,0.0,-2530.0
6172,2015.0,957.0,44100.0,85260.0,149940.0,104958.0,44982.0,-14994.0,0.0,-41160.0
6357,2015.0,888.0,102200.0,49275.0,235060.0,164542.0,23506.0,-23506.0,0.0,52925.0
6370,2015.0,987.0,28320.0,40710.0,93456.0,65419.2,28036.8,-9345.6,0.0,-12390.0
7662,2015.0,455.0,470000.0,921200.0,1175000.0,,235000.0,-117500.0,0.0,-451200.0
7706,2015.0,253.0,4640.0,4060.0,17168.0,12017.6,5150.4,-1716.8,0.0,580.0
7824,2015.0,103.0,63440.0,55510.0,114192.0,79934.4,22838.4,-11419.2,0.0,7930.0
7865,2015.0,753.0,476300.0,935280.0,2333870.0,,933548.0,-233387.0,0.0,-458980.0
8444,2015.0,525.0,2560.0,0.0,12032.0,8422.4,6016.0,-1203.2,0.0,2560.0
8492,2015.0,324.0,12480.0,10400.0,19968.0,13977.6,7987.2,-1996.8,0.0,2080.0
8608,2015.0,918.0,79900.0,107865.0,135830.0,108664.0,40749.0,-13583.0,0.0,-27965.0
8663,2015.0,873.0,33120.0,48300.0,109296.0,65577.6,21859.2,-10929.6,0.0,-15180.0
8854,2015.0,82.0,313200.0,458055.0,1503360.0,902016.0,751680.0,-150336.0,0.0,-144855.0
8872,2015.0,,621600.0,612720.0,1243200.0,497280.0,621600.0,-124320.0,0.0,8880.0
